影片,导演,编剧,主演,类型,国家/地区,语言,上映日期
劫机惊魂,拉姆·麦德拉瓦尼,塞尔温·恰德尔斯,索娜姆·卡普尔;帕斯·阿克卡尔;海德尔·阿里;鲍比·阿罗拉;阿里·巴尔德瓦拉;莎巴娜·阿兹米;谢卡尔·拉维加尼,剧情;惊悚;传记,印度,印地语,2016-02-19(印度)
劳拉的星星,Piet De Rycker;Thilo Rothkirch,Alexander Lindner;Klaus Baumgart;Michael M?del,Céline Vogt;Sandro Iannotta;Maximilian Artajo;Brit Gülland;Heinrich Schafmeister,喜剧;动画;家庭;儿童;奇幻,保加利亚 / 德国 / 中国,英语,2004-09-19
勇士,加文·欧康诺,加文·欧康诺;安东尼·塔姆巴基斯,汤姆·哈迪;乔尔·埃哲顿;尼克·诺特;詹妮弗·莫里森;弗兰克·格里罗;凯文·杜恩,剧情;家庭;运动,美国,英语,2011-09-09(美国)
勇士之门,马蒂亚斯·霍恩,吕克·贝松;罗伯特·马克·卡门,赵又廷;倪妮;尤赖亚·谢尔顿;吴镇宇;戴夫·巴蒂斯塔;奚梦瑶;惠英红;西耶娜·盖尔利;罗恩·斯穆安伯格,奇幻;冒险,中国大陆 / 法国,汉语普通话 / 英语,2016-11-18(中国大陆)
勇夺芳心,Aditya Chopra,,沙鲁克·汗;Kajol;Amrish Puri,喜剧;爱情;歌舞;家庭,印度,北印度语 / 乌尔都语 / 英语 / Punjabi,1995-10-20
勇往直前,约瑟夫·科辛斯基,肯·诺兰;埃里克·辛格尔;肖恩·弗林,乔什·布洛林;迈尔斯·特勒;杰夫·布里吉斯;詹妮弗·康纳利;詹姆斯·戴尔;泰勒·克奇;安迪·麦克道威尔;吉欧夫·斯图兹;亚历克斯·罗素;萨德·拉金比尔;本·哈迪;斯科特·黑兹;杰克·皮克金;斯科特·福克斯;迪兰·科宁;娜塔莉·豪尔;贝尔·詹姆斯,剧情;传记;灾难,美国,英语,2017-12-08(中国大陆);2017-10-20(美国)
勇敢传说,马克?安德鲁斯;布兰达?查普曼;史蒂夫·普切尔,布兰达?查普曼;艾琳·梅琪;马克?安德鲁斯;史蒂夫·普切尔,凯莉·麦克唐纳;艾玛·汤普森;比利·康诺利;朱丽·沃特斯;罗彼·考特拉尼;凯文·麦克基德;克雷格·费格森;莎莉·金霍恩;伊丽·弗雷泽;佩吉·巴克;史蒂芬·克里;卡勒姆·奥尼尔;帕特里克·道尔;约翰·拉岑贝格;史蒂夫·波赛尔,喜剧;动画;奇幻;冒险,美国,英语,2012-06-19(中国大陆);2012-06-10(西雅图电影节);2012-06-22(美国)
勇敢者游戏：决战丛林,杰克·卡斯丹,克里斯·麦克纳;埃里克·萨默斯;斯科特·罗森伯格;杰夫·皮克纳;克里斯·范·奥斯伯格,道恩·强森;凯文·哈特;杰克·布莱克;凯伦·吉兰;尼克·乔纳斯;瑞斯·达比;鲍比·坎纳瓦尔;亚历克斯·沃尔夫;瑟达吕斯·布兰;麦迪森·伊瑟曼;摩根·特纳;梅森·古乔内;马克·埃文·杰克逊;玛琳·辛科;特雷西·邦纳;玛莉贝丝·梦露;米西·派勒;杰米·雷内尔;卡尔利斯·布克;罗翰·昌德;科林·汉克斯,动作;奇幻;冒险,美国,英语,2018-01-12(中国大陆);2017-12-20(美国)
勇踏星途,Bobby Roth,,维吉妮娅·马德森;琳赛·霍恩;Barbara Mamabolo;乔安妮·博兰德;Jackie Rosenbaum,,USA,English,2004-04-25
勒克瑙之花,J.P.Dutta,,艾西瓦娅·雷;莎巴娜·阿兹米;阿布舍克·巴强,剧情;爱情,印度,乌尔都语 / 北印度语,2006-11-03
